Year,Player Name,Team,WAR
1900,Cy Young,STL,6.4
1900,Noodles Hahn,CIN,5.3
1900,Deacon Phillippe,PIT,4.2
1900,Ed Scott,CIN,4.1
1900,Bill Dinneen,BSN,4.1
1900,Sam Leever,PIT,4.0
1900,Rube Waddell,PIT,4.0
1900,Ned Garvin,CHI,3.6
1900,Jack Powell,STL,3.5
1900,Al Orth,PHI,3.4
1900,Pink Hawley,NYG,3.1
1900,Bill Carrick,NYG,3.1
1900,Joe McGinnity,BRO,3.1
1900,Jesse Tannehill,PIT,3.1
1900,Jimmy Callahan,CHI,3.1
1900,Clark Griffith,CHI,2.8
1900,Brickyard Kennedy,BRO,2.8
1900,Cowboy Jones,STL,2.6
1900,Jack Taylor,CHI,2.5
1900,Red Donahue,PHI,2.5
1900,Doc Newton,CIN,2.3
1900,Frank Kitson,BRO,2.3
1900,Bill Bernhard,PHI,2.2
1900,Kid Nichols,BSN,2.1
1900,Win Mercer,NYG,1.9
1900,Bill Phillips,CIN,1.9
1900,Jack Chesbro,PIT,1.7
1900,Ted Lewis,BSN,1.5
1900,Chick Fraser,PHI,1.2
1900,Vic Willis,BSN,1.2
1901,Cy Young,BOS,7.8
1901,Noodles Hahn,CIN,6.6
1901,Christy Mathewson,NYG,5.4
1901,Bill Donovan,BRO,4.8
1901,Joe McGinnity,BAL,4.6
1901,Jesse Tannehill,PIT,4.5
1901,Harry Howell,BAL,4.5
1901,Bill Dinneen,BSN,4.2
1901,Eddie Plank,PHA,4.2
1901,Al Orth,PHI,4.1
1901,Vic Willis,BSN,4.0
1901,Jack Chesbro,PIT,4.0
1901,Roscoe Miller,DET,4.0
1901,Kid Nichols,BSN,3.9
1901,Deacon Phillippe,PIT,3.8
1901,Tom Hughes,CHI,3.8
1901,Bill Bernhard,PHA,3.7
1901,Togie Pittinger,BSN,3.6
1901,Roy Patterson,CHW,3.6
1901,Doc White,PHI,3.5
1901,Red Donahue,PHI,3.4
1901,Jack Powell,STL,3.4
1901,Ed Siever,DET,3.4
1901,Rube Waddell,N/A,3.4
1901,Clark Griffith,CHW,3.2
1901,Frank Kitson,BRO,3.1
1901,Casey Patten,WAS,3.0
1901,Bill Phillips,CIN,3.0
1901,Pete Dowling,N/A,2.9
1901,Bill Duggleby,PHI,2.9
1902,Cy Young,BOS,7.7
1902,Rube Waddell,PHA,6.8
1902,Noodles Hahn,CIN,6.3
1902,Vic Willis,BSN,6.2
1902,Deacon Phillippe,PIT,5.3
1902,Bill Dinneen,BOS,5.0
1902,Eddie Plank,PHA,4.9
1902,Doc White,PHI,4.7
1902,Joe McGinnity,N/A,4.5
1902,Jesse Tannehill,PIT,4.1
1902,Togie Pittinger,BSN,3.9
1902,Bill Phillips,CIN,3.9
1902,Christy Mathewson,NYG,3.8
1902,Jack Chesbro,PIT,3.8
1902,Addie Joss,CLE,3.7
1902,Al Orth,WAS,3.6
1902,Bill Donovan,BRO,3.6
1902,Frank Kitson,BRO,3.4
1902,Jack Taylor,CHI,3.3
1902,Jack Powell,SLB,3.2
1902,Bill Bernhard,N/A,3.2
1902,Sam Leever,PIT,3.2
1902,Ed Siever,DET,3.1
1902,Red Donahue,SLB,3.1
1902,Wiley Piatt,CHW,3.1
1902,Casey Patten,WAS,2.8
1902,Jim Hughes,BRO,2.8
1902,Ham Iburg,PHI,2.7
1902,Lewis Wiltse,N/A,2.5
1902,George Mullin,DET,2.5
1903,Rube Waddell,PHA,8.0
1903,Christy Mathewson,NYG,7.5
1903,Noodles Hahn,CIN,6.6
1903,Deacon Phillippe,PIT,5.8
1903,Cy Young,BOS,5.7
1903,Joe McGinnity,NYG,5.5
1903,Eddie Plank,PHA,4.8
1903,Jack Chesbro,NYH,4.6
1903,Ned Garvin,BRO,4.5
1903,Bob Ewing,CIN,4.4
1903,Jesse Tannehill,NYH,4.3
1903,Bill Donovan,DET,4.2
1903,Sam Leever,PIT,4.1
1903,Jack Taylor,CHC,4.0
1903,Earl Moore,CLE,3.9
1903,Addie Joss,CLE,3.9
1903,Bill Dinneen,BOS,3.7
1903,Oscar Jones,BRO,3.4
1903,Vic Willis,BSN,3.4
1903,Tully Sparks,PHI,3.3
1903,George Mullin,DET,3.3
1903,Red Donahue,N/A,3.2
1903,Clark Griffith,NYH,3.2
1903,Jack Powell,SLB,3.1
1903,Bob Wicker,N/A,3.0
1903,Chappie McFarland,STL,3.0
1903,Frank Kitson,DET,2.8
1903,Jack Sutthoff,CIN,2.7
1903,Chief Bender,PHA,2.6
1903,Tom Hughes,BOS,2.5
1904,Rube Waddell,PHA,9.2
1904,Jack Chesbro,NYH,8.5
1904,Cy Young,BOS,7.7
1904,Christy Mathewson,NYG,6.7
1904,Noodles Hahn,CIN,6.1
1904,Kid Nichols,STL,5.4
1904,Eddie Plank,PHA,5.2
1904,Jack Harper,CIN,4.9
1904,Jake Weimer,CHC,4.7
1904,Joe McGinnity,NYG,4.6
1904,Jack Powell,NYH,4.5
1904,Bill Bernhard,CLE,4.2
1904,Bill Dinneen,BOS,4.2
1904,Vic Willis,BSN,4.2
1904,Red Donahue,CLE,3.8
1904,Dummy Taylor,NYG,3.8
1904,Fred Glade,SLB,3.7
1904,Jesse Tannehill,BOS,3.7
1904,Bob Ewing,CIN,3.7
1904,Chief Bender,PHA,3.7
1904,Win Kellum,CIN,3.6
1904,Deacon Phillippe,PIT,3.4
1904,Casey Patten,WAS,3.2
1904,Jack Taylor,STL,3.2
1904,Chappie McFarland,STL,3.2
1904,Harry Howell,SLB,3.0
1904,Sam Leever,PIT,2.9
1904,Earl Moore,CLE,2.9
1904,Buttons Briggs,CHC,2.9
1904,Weldon Henley,PHA,2.8
1905,Cy Young,BOS,8.0
1905,Christy Mathewson,NYG,7.4
1905,Rube Waddell,PHA,7.0
1905,Eddie Plank,PHA,5.7
1905,Irv Young,BSN,5.6
1905,Deacon Phillippe,PIT,5.6
1905,Bob Ewing,CIN,5.5
1905,Jack Chesbro,NYH,5.1
1905,Red Ames,NYG,4.7
1905,Ed Reulbach,CHC,4.4
1905,Al Orth,NYH,4.1
1905,Joe McGinnity,NYG,3.9
1905,Addie Joss,CLE,3.8
1905,Harry Howell,SLB,3.8
1905,Andy Coakley,PHA,3.7
1905,Mordecai Brown,CHC,3.6
1905,Orval Overall,CIN,3.5
1905,George Winter,BOS,3.5
1905,Vic Willis,BSN,3.2
1905,Tom Hughes,WAS,3.2
1905,Frank Owen,CHW,3.1
1905,Fred Glade,SLB,3.0
1905,Togie Pittinger,PHI,3.0
1905,Frank Smith,CHW,2.8
1905,Doc White,CHW,2.8
1905,Charlie Chech,CIN,2.7
1905,Sam Leever,PIT,2.7
1905,Jake Weimer,CHC,2.7
1905,Jesse Tannehill,BOS,2.7
1905,Nick Altrock,CHW,2.6
1906,Al Orth,NYH,6.0
1906,Cy Young,BOS,5.8
1906,Bob Ewing,CIN,5.7
1906,Jack Chesbro,NYH,5.6
1906,Mordecai Brown,CHC,5.3
1906,Irv Young,BSN,4.9
1906,Vic Willis,PIT,4.8
1906,Ed Walsh,CHW,4.7
1906,Rube Waddell,PHA,4.7
1906,Jake Weimer,CIN,4.6
1906,Joe McGinnity,NYG,4.6
1906,Chief Bender,PHA,4.4
1906,Jack Pfiester,CHC,4.4
1906,Addie Joss,CLE,4.0
1906,Hooks Wiltse,NYG,4.0
1906,Harry Howell,SLB,4.0
1906,Tully Sparks,PHI,3.9
1906,Deacon Phillippe,PIT,3.9
1906,Nick Altrock,CHW,3.8
1906,Christy Mathewson,NYG,3.7
1906,Jack Powell,SLB,3.5
1906,Otto Hess,CLE,3.5
1906,Cy Falkenberg,WAS,3.2
1906,Bill Bernhard,CLE,3.2
1906,Red Ames,NYG,3.2
1906,Vive Lindaman,BSN,3.2
1906,Sam Leever,PIT,3.2
1906,Big Jeff Pfeffer,BSN,3.1
1906,Eddie Plank,PHA,3.0
1906,Bob Wicker,N/A,3.0
1907,Christy Mathewson,NYG,6.8
1907,Rube Waddell,PHA,6.2
1907,Cy Young,BOS,5.8
1907,Bob Ewing,CIN,5.6
1907,Ed Walsh,CHW,5.5
1907,Ed Karger,STL,5.1
1907,Addie Joss,CLE,4.7
1907,Eddie Plank,PHA,4.7
1907,Doc White,CHW,4.5
1907,Mordecai Brown,CHC,4.4
1907,Chief Bender,PHA,4.3
1907,Orval Overall,CHC,4.3
1907,Joe McGinnity,NYG,4.2
1907,Charlie Smith,WAS,4.1
1907,Tully Sparks,PHI,4.0
1907,George Mullin,DET,3.9
1907,Frank Corridon,PHI,3.9
1907,Vic Willis,PIT,3.8
1907,Ed Siever,DET,3.5
1907,Nap Rucker,BRO,3.3
1907,Al Orth,NYH,3.2
1907,Andy Coakley,CIN,3.2
1907,Jack Pfiester,CHC,3.1
1907,Jack Chesbro,NYH,3.1
1907,Bill Donovan,DET,3.0
