A.J. Burnett
A. J. Pollock
Aaron Cook
Aaron Harang
Aaron Heilman
Aaron Hill
Aaron Rowand
Aaron Sele
Aaron Ward
Ad Brennan
Adam Dunn
Adam Jones
Adam Ottavino
Adam Wainwright
Adam Warren
Addie Joss
Addison Reed
Adolfo Phillips
Adrian Beltre
Adrian Gonzalez
Akinori Otsuka
Al Benton
Al Brazle
Al Bridwell
Al Bumbry
Al Cowens
Al Dark
Al Demaree
Al Downing
Al Fitzmorris
Al Holland
Al Hollingsworth
Al Jackson
Al Javery
Al Kaline
Al Leiter
Al Mattern
Al McBean
Al Oliver
Al Orth
Al Rosen
Al Simmons
Al Smith
Al Wickland
Al Widmar
Al Wingo
Alan Embree
Alan Trammell
Albert Belle
Albert Pujols
Alberto Reyes
Albie Pearson
Alejandro Pena
Alex Avila
Alex Ferguson
Alex Fernandez
Alex Gordon
Alex Kellner
Alex Metzler
Alex Rios
Alex Rodriguez
Alex Torres
Alfonso Soriano
Alfredo Aceves
Allan Anderson
Allie Reynolds
Alvin Davis
Amos Otis
Amos Strunk
Andre Dawson
Andre Thornton
Andrelton Simmons
Andres Galarraga
Andres Torres
Andrew Bailey
Andrew McCutchen
Andrew Miller
Andruw Jones
Andy Ashby
Andy Benes
Andy Coakley
Andy High
Andy McGaffigan
Andy Messersmith
Andy Pafko
Andy Pettitte
Andy Van Slyke
Angel Pagan
Anibal Sanchez
Anthony DeSclafani
Anthony Rendon
Anthony Rizzo
Anthony Telford
Antonio Osuna
Aramis Ramirez
Arky Vaughan
Armando Benitez
Arnie Portocarrero
Aroldis Chapman
Art Devlin
Art Fletcher
Art Fowler
Art Fromme
Art Houtteman
Art Howe
Art Nehf
Art Wilson
Arthur Rhodes
Atlee Hammaker
Aubrey Huff
Augie Galan
Aurelio Lopez
Aurelio Rodriguez
Austin Jackson
Austin McHenry
B. J. Ryan
Babe Adams
Babe Herman
Babe Ruth
Baby Doll Jacobson
Barney McCosky
Barry Bonds
Barry Jones
Barry Larkin
Barry Zito
Bartolo Colon
Ben Chapman
Ben McDonald
Ben Oglivie
Ben Sheets
Ben Zobrist
Bennie Daniels
Benny Frey
Benny Kauff
Bernard Gilkey
Bernie Boland
Bernie Friberg
Bernie Williams
Bert Blyleven
Bert Campaneris
Bert Gallia
Bibb Falk
Big Jeff Pfeffer
Bill Bernhard
Bill Bevens
Bill Bonham
Bill Bradley
Bill Campbell
Bill Carrick
Bill Castro
Bill Caudill
Bill Dahlen
Bill Dawley
Bill Dickey
Bill Dietrich
Bill Doak
Bill Donovan
Bill Doran
Bill Duggleby
Bill Fischer
Bill Freehan
Bill Gullickson
Bill Hall
Bill Hallahan
Bill Hands
Bill Hinchman
Bill James
Bill Keister
Bill Landrum
Bill Lee
Bill Lohrman
Bill Madlock
Bill Mazeroski
Bill McGee
Bill McKechnie
Bill Melton
Bill Monbouquette
Bill Mueller
Bill Nicholson
Bill Phillips
Bill Risley
Bill Sherdel
Bill Singer
Bill Skowron
Bill Stafford
Bill Stoneman
Bill Sweeney
Bill Swift
Bill Terry
Bill Tuttle
Bill Voiselle
Bill Walker
Bill Werle
Bill White
Bill Wight
Bill Wilkinson
Billy Campbell
Billy Gardner
Billy Gilbert
Billy Goodman
Billy Grabarkewitz
Billy Hamilton
Billy Herman
Billy Hoeft
Billy Johnson
Billy Jurges
Billy Koch
Billy Loes
Billy Lush
Billy Myers
Billy North
Billy O'Dell
Billy Pierce
Billy Rogell
Billy Southworth
Billy Taylor
Billy Wagner
Billy Werber
Billy Williams
Bing Miller
Bip Roberts
Birdie Cree
Blas Minor
Bob Allison
Bob Anderson
Bob Bailey
Bob Bescher
Bob Bowman
Bob Bruce
Bob Buhl
Bob Cerv
Bob Elliott
Bob Ewing
Bob Feller
Bob Forsch
Bob Fothergill
Bob Friend
Bob Gibson
Bob Grim
Bob Groom
Bob Hasty
Bob Hooper
Bob Howry
Bob James
Bob Johnson
Bob Klinger
Bob Knepper
Bob Kuzava
Bob Lemon
Bob Logan
Bob McClure
Bob Meusel
Bob Miller
Bob Moose
Bob Muncrief
Bob Nieman
Bob O'Farrell
Bob Ojeda
Bob Porterfield
Bob Purkey
Bob Rush
Bob Sebra
Bob Shaw
Bob Shawkey
Bob Shirley
Bob Skinner
Bob Stanley
Bob Steele
Bob Tewksbury
Bob Turley
Bob Veale
Bob Watson
Bob Weiland
Bob Welch
Bob Wicker
Bob Wickman
Bobby Abreu
Bobby Avila
Bobby Ayala
Bobby Bonds
Bobby Bonilla
Bobby Byrne
Bobby Doerr
Bobby Estalella
Bobby Grich
Bobby Jenks
Bobby Keefe
Bobby Murcer
Bobby Parnell
Bobby Shantz
Bobby Thigpen
Bobby Thomson
Bobby Tolan
Bobby Veach
Bobby Wallace
Bobby Witt
Bobo Newsom
Boog Powell
Boom-Boom Beck
Brad Hogg
Brad Lidge
Brad Penny
Brad Radke
Brad Wilkerson
Braden Looper
Brady Anderson
Braggo Roth
Brandon Crawford
Brandon Kintzler
Brandon League
Brandon Lyon
Brandon McCarthy
Brandon Phillips
Brandon Webb
Brendan Donnelly
Bret Boone
Bret Saberhagen
Brett Anderson
Brett Butler
Brett Cecil
Brett Gardner
Brett Myers
Brett Tomko
Brian Downing
Brian Dozier
Brian Fisher
Brian Fuentes
Brian Giles
Brian Jordan
Brian Lawrence
Brian McCann
Brian Roberts
Brian Shouse
Brian Wilson
Brickyard Kennedy
Bris Lord
Britt Burns
Bronson Arroyo
Brook Jacoby
Brooks Lawrence
Brooks Robinson
Bruce Berenyi
Bruce Hurst
Bruce Ruffin
Bruce Sutter
Bryan Harvey
Bryce Harper
Bryn Smith
Bubba Church
Buck Freeman
Buck Herzog
Buck Weaver
Bucky Walters
Bud Black
Bud Daley
Buddy Bell
Buddy Groom
Buddy Lewis
Buddy Myer
Bugs Raymond
Bump Hadley
Bump Wills
Burleigh Grimes
Burt Hooton
Burt Shotton
Buster Adams
Buster Brown
Buster Posey
Butch Wensloff
Buttons Briggs
Buzz Capra
Byung-Hyun Kim
C. J. Wilson
Cal Abrams
Cal Ripken
Calvin Schiraldi
Camilo Pascual
Carden Gillenwater
Carl Crawford
Carl Erskine
Carl Everett
Carl Fischer
Carl Furillo
Carl Hubbell
Carl Mays
Carl Morton
Carl Pavano
Carl Reynolds
Carl Weilman
Carl Willis
Carl Yastrzemski
Carlos Baerga
Carlos Beltran
Carlos Delgado
Carlos Diaz
Carlos Gomez
Carlos Gonzalez
Carlos Guillen
Carlos Lee
Carlos Marmol
Carlos Martinez
Carlos Pena
Carlos Perez
Carlos Quentin
Carlos Zambrano
Carlton Fisk
Carmen Hill
Carney Lansford
Carson Bigbee
Carson Smith
Casey Janssen
Cass Michaels
Catfish Hunter
CC Sabathia
Cecil Cooper
Cecil Fielder
Cecil Travis
Cecilio Guante
Cesar Cedeno
Cesar Tovar
Chad Billingsley
Chad Bradford
Chad Durbin
Chad Fox
Chad Qualls
Chan Ho Park
Chappie McFarland
Charles Nagy
Charlie Babb
Charlie Chech
Charlie Gehringer
Charlie Gelbert
Charlie Hanford
Charlie Hemphill
Charlie Hickman
Charlie Hollocher
Charlie Hough
Charlie Jamieson
Charlie Keller
Charlie Leibrandt
Charlie Maxwell
Charlie Neal
Charlie Robertson
Charlie Smith
Chase Headley
Chase Utley
Chet Laabs
Chet Lemon
Chick Fraser
Chick Gandil
Chick Hafey
Chick Stahl
Chico Carrasquel
Chief Bender
Chief Johnson
Chief Wilson
Chien-Ming Wang
Chili Davis
Chipper Jones
Chone Figgins
Chris Archer
Chris Bosio
Chris Capuano
Chris Carpenter
Chris Chambliss
Chris Davis
Chris Hammond
Chris Haney
Chris Hoiles
Chris Reitsma
Chris Sabo
Chris Sale
Chris Short
Chris Speier
Chris Young
Christy Mathewson
Chuck Dobson
Chuck Dressen
Chuck Finley
Chuck Klein
Chuck Knoblauch
Chuck McElroy
Chuck Stobbs
Cito Gaston
Clarence Mitchell
Clark Griffith
Claude Cooper
Claude Hendrix
Claude Osteen
Claude Passeau
Claude Ritchey
Claude Willoughby
Clay Bryant
Clay Hensley
Clay Kirby
Clayton Kershaw
Cleon Jones
Clete Boyer
Cliff Chambers
Cliff Fannin
Cliff Floyd
Cliff Heathcote
Cliff Lee
Cliff Melton
Clint Brown
Clyde Milan
Clyde Shoun
Coco Crisp
Cody Allen
Colby Lewis
Cole Hamels
Collin McHugh
Connie Johnson
Connie Marrero
Corey Kluber
Corey Koskie
Corey Patterson
Cory Lidle
Cowboy Jones
Craig Biggio
Craig Kimbrel
Craig Lefferts
Craig Swan
Curt Blefary
Curt Davis
Curt Flood
Curt Leskanic
Curt Schilling
Curt Simmons
Curt Walker
Curtis Granderson
Cy Blanton
Cy Falkenberg
Cy Seymour
Cy Williams
Cy Young
D. J. Carrasco
Dale Alexander
Dale Mitchell
Dale Mohorcic
Dale Murphy
Dale Murray
Dallas Keuchel
Damaso Marte
Dan Haren
Dan McGann
Dan Miceli
Dan Petry
Dan Plesac
Dan Quisenberry
Dan Spillner
Dan Uggla
Dan Wheeler
Daniel Bard
Daniel Hudson
Danny Boone
Danny Cox
Danny Darwin
Danny Farquhar
Danny Graves
Danny Green
Danny Jackson
Danny MacFayden
Danny Murphy
Danny Patterson
Daric Barton
Darin Erstad
Darrell Evans
Darrell Porter
Darren Daulton
Darren Dreifort
Darren Holmes
Darren O'Day
Darren Oliver
Darryl Kile
Darryl Strawberry
Dave Bancroft
Dave Beard
Dave Boswell
Dave Brain
Dave Burba
Dave Bush
Dave Cash
Dave Concepcion
Dave Danforth
Dave Davenport
Dave Ferriss
Dave Fleming
Dave Frost
Dave Giusti
Dave Goltz
Dave Henderson
Dave Hillman
Dave Hollins
Dave Koslo
Dave Lemanczyk
Dave Magadan
Dave McNally
Dave Parker
Dave Righetti
Dave Roberts
Dave Robertson
Dave Rozema
Dave Schmidt
Dave Smith
Dave Stewart
Dave Stieb
Dave Tobik
Dave Veres
Dave Wickersham
Dave Winfield
Davey Johnson
Davey Lopes
David Aardsma
David Cone
David Hernandez
David Justice
David Ortiz
David Price
David Riske
David Robertson
David Weathers
David Wells
David Wright
Davy Jones
Dazzy Vance
Deacon Phillippe
Dean Chance
Dean Stone
Dee Gordon
Del Bissonette
Del Crandall
Del Ennis
Del Pratt
Dellin Betances
Denis Menke
Dennis Cook
Dennis Eckersley
Dennis Eckersley (R)
Dennis Eckersley (S)
Dennis Lamp
Dennis Leonard
Dennis Martinez
Denny Galehouse
Denny McLain
Denny Neagle
Dennys Reyes
Derek Bell
Derek Holland
Derek Jeter
Derek Lilliquist
Derek Lowe
Deron Johnson
Derrek Lee
Derrick Turnbow
Devon White
DeWayne Buice
Dick Allen
Dick Bartell
Dick Bosman
Dick Dietz
Dick Donovan
Dick Drago
Dick Egan
Dick Ellsworth
Dick Fowler
Dick Groat
Dick Hoblitzell
Dick McAuliffe
Dick Newsome
Dick Rudolph
Dick Ruthven
Dick Stigman
Dick Stuart
Dick Wakefield
Dickie Thon
Dixie Walker
Dizzy Dean
Dizzy Trout
Doc Ayers
Doc Crandall
Doc Gessler
Doc Medich
Doc Newton
Doc White
Dock Ellis
Dode Paskert
Dolf Luque
Dolly Gray
Dolph Camilli
Dom DiMaggio
Don Aase
Don Blasingame
Don Buford
Don Cardwell
Don Carman
Don Drysdale
Don Gullett
Don Hoak
Don Hurst
Don Johnson
Don Larsen
Don Mattingly
Don Mincher
Don Money
Don Mossi
Don Newcombe
Don Nottebart
Don Robinson
Don Sutton
Don Wilson
Donie Bush
Donn Clendenon
Donnie Moore
Dontrelle Willis
Dots Miller
Doug Baird
Doug Brocail
