Year,Player Name,Team,WAR
1900,Honus Wagner,PIT,6.9
1900,Elmer Flick,PHI,6.3
1900,Jesse Burkett,STL,5.6
1900,John McGraw,STL,5.4
1900,Kip Selbach,NYG,5.3
1900,Billy Hamilton,BSN,5.2
1900,Willie Keeler,BRO,4.4
1900,Nap Lajoie,PHI,4.2
1900,George Davis,NYG,4.1
1900,Jake Beckley,CIN,3.9
1900,Joe Kelley,BRO,3.8
1900,Roy Thomas,PHI,3.8
1900,Jimmy Barrett,CIN,3.6
1900,Bill Dahlen,BRO,3.6
1900,Jimmy Collins,BSN,3.6
1900,George Van Haltren,NYG,3.6
1900,Fielder Jones,BRO,3.2
1900,Herman Long,BSN,2.9
1900,Claude Ritchey,PIT,2.8
1900,Ed Delahanty,PHI,2.8
1900,Dan McGann,STL,2.7
1900,Chick Stahl,BSN,2.7
1900,Fred Clarke,PIT,2.7
1900,Lave Cross,N/A,2.5
1900,Sam Mertes,CHI,2.4
1900,Bill Bradley,CHI,2.3
1900,Charlie Hickman,NYG,2.2
1900,Jimmy Williams,PIT,1.8
1900,Buck Freeman,BSN,1.6
1900,Bill Keister,STL,1.3
1901,Nap Lajoie,PHA,8.9
1901,Honus Wagner,PIT,7.5
1901,Jesse Burkett,STL,7.3
1901,Elmer Flick,PHI,7.1
1901,Bobby Wallace,STL,7.1
1901,Ed Delahanty,PHI,7.1
1901,Jimmy Collins,BOS,6.8
1901,Jimmy Sheckard,BRO,6.8
1901,Topsy Hartsel,CHI,6.0
1901,Fred Clarke,PIT,5.5
1901,Freddy Parent,BOS,4.9
1901,Dummy Hoy,CHW,4.8
1901,Buck Freeman,BOS,4.8
1901,Roy Thomas,PHI,4.7
1901,Mike Donlin,BAL,4.6
1901,George Davis,NYG,4.6
1901,Chick Stahl,BOS,4.5
1901,Emmet Heidrick,STL,4.4
1901,Fielder Jones,CHW,4.4
1901,Danny Green,CHI,4.3
1901,Ginger Beaumont,PIT,4.3
1901,Sam Crawford,CIN,4.2
1901,John Anderson,MIL,4.2
1901,Fred Hartman,CHW,4.1
1901,Kid Elberfeld,DET,4.1
1901,Jimmy Williams,BAL,4.1
1901,Tom Daly,BRO,4.0
1901,Sam Mertes,CHW,4.0
1901,George Van Haltren,NYG,3.9
1901,Lave Cross,PHA,3.8
1902,Honus Wagner,PIT,7.5
1902,Ed Delahanty,WAS,7.0
1902,Bill Bradley,CLE,6.7
1902,George Davis,CHW,6.1
1902,Tommy Leach,PIT,5.9
1902,Ginger Beaumont,PIT,5.7
1902,Fred Clarke,PIT,5.4
1902,Bobby Wallace,SLB,5.4
1902,Charlie Hickman,N/A,5.0
1902,Fred Tenney,BSN,4.9
1902,Jimmy Collins,BOS,4.8
1902,Sammy Strang,N/A,4.8
1902,Sam Crawford,CIN,4.7
1902,Lave Cross,PHA,4.7
1902,Jimmy Slagle,CHI,4.6
1902,Jesse Burkett,SLB,4.5
1902,Buck Freeman,BOS,4.5
1902,Socks Seybold,PHA,4.3
1902,Fielder Jones,CHW,4.2
1902,Willie Keeler,BRO,4.0
1902,Bill Dahlen,BRO,3.9
1902,Jimmy Barrett,DET,3.9
1902,Jimmy Sheckard,N/A,3.9
1902,Roy Thomas,PHI,3.8
1902,Jake Beckley,CIN,3.8
1902,Danny Green,CHW,3.7
1902,Claude Ritchey,PIT,3.5
1902,Freddy Parent,BOS,3.5
1902,Jimmy Ryan,WAS,3.4
1902,Joe Tinker,CHI,3.4
1903,Honus Wagner,PIT,8.4
1903,Nap Lajoie,CLE,7.6
1903,Jimmy Sheckard,BRO,7.5
1903,Bill Bradley,CLE,6.9
1903,Freddy Parent,BOS,6.2
1903,Frank Chance,CHC,6.2
1903,Roger Bresnahan,NYG,5.4
1903,Bill Dahlen,BRO,5.3
1903,Roy Thomas,PHI,5.3
1903,Jimmy Collins,BOS,5.3
1903,Sam Crawford,DET,5.2
1903,Mike Donlin,CIN,5.2
1903,Fred Clarke,PIT,5.0
1903,Patsy Dougherty,BOS,4.9
1903,Jimmy Barrett,DET,4.9
1903,Ginger Beaumont,PIT,4.8
1903,Claude Ritchey,PIT,4.7
1903,Cy Seymour,CIN,4.5
1903,Sam Mertes,NYG,4.5
1903,Elmer Flick,CLE,4.4
1903,Danny Green,CHW,4.4
1903,Harry Steinfeldt,CIN,4.2
1903,Tommy Leach,PIT,4.1
1903,Kid Elberfeld,N/A,4.1
1903,Buck Freeman,BOS,4.0
1903,Jimmy Slagle,CHC,4.0
1903,Joe Tinker,CHC,3.9
1903,Billy Lush,DET,3.9
1903,Fred Tenney,BSN,3.9
1903,Jimmy Williams,NYH,3.7
1904,Honus Wagner,PIT,9.0
1904,Nap Lajoie,CLE,8.8
1904,George Davis,CHW,6.6
1904,Elmer Flick,CLE,6.6
1904,Frank Chance,CHC,6.3
1904,Bill Bradley,CLE,6.3
1904,Freddy Parent,BOS,6.0
1904,Bill Dahlen,NYG,5.9
1904,Art Devlin,NYG,5.4
1904,Roy Thomas,PHI,5.2
1904,Bobby Wallace,SLB,5.1
1904,Jimmy Collins,BOS,5.0
1904,Dan McGann,NYG,4.9
1904,Danny Murphy,PHA,4.9
1904,Sam Mertes,NYG,4.7
1904,Willie Keeler,NYH,4.5
1904,Chick Stahl,BOS,4.5
1904,Cy Seymour,CIN,4.5
1904,Kid Elberfeld,NYH,4.5
1904,Danny Green,CHW,4.3
1904,Jake Beckley,STL,4.3
1904,Harry Lumley,BRO,4.1
1904,Tommy Leach,PIT,4.0
1904,Billy Gilbert,NYG,3.7
1904,Lee Tannehill,CHW,3.7
1904,Charlie Babb,BRO,3.6
1904,Wid Conroy,NYH,3.6
1904,Johnny Evers,CHC,3.6
1904,Joe Tinker,CHC,3.6
1904,Jesse Burkett,SLB,3.6
1905,Honus Wagner,PIT,10.8
1905,Cy Seymour,CIN,8.7
1905,Mike Donlin,NYG,7.4
1905,George Davis,CHW,6.9
1905,Frank Chance,CHC,6.3
1905,Roy Thomas,PHI,5.8
1905,Elmer Flick,CLE,5.7
1905,Bill Dahlen,NYG,5.7
1905,Harry Davis,PHA,5.6
1905,Sherry Magee,PHI,5.5
1905,John Titus,PHI,5.5
1905,Dan McGann,NYG,5.3
1905,Sam Crawford,DET,4.9
1905,George Stone,SLB,4.9
1905,Topsy Hartsel,PHA,4.8
1905,Danny Murphy,PHA,4.8
1905,Bill Bradley,CLE,4.7
1905,Jiggs Donahue,CHW,4.7
1905,Joe Tinker,CHC,4.6
1905,Miller Huggins,CIN,4.5
1905,Fielder Jones,CHW,4.5
1905,Bobby Wallace,SLB,4.4
1905,Art Devlin,NYG,4.4
1905,Jimmy Sheckard,BRO,4.1
1905,Fred Clarke,PIT,4.1
1905,Harry Bay,CLE,4.1
1905,Sam Mertes,NYG,4.0
1905,Jimmy Collins,BOS,4.0
1905,Fred Tenney,BSN,3.9
1905,Socks Seybold,PHA,3.8
